Champion;Ability;Type;Description;Range;Cooldown;Cost;Scalings
GRAVES;QUICKDRAW;E;Range: 425 Cooldown: 16/15/14/13/12 Cost: 40 Graves dashes forward, resetting his basic attack timer and refilling one shell. Graves also gains 8/11/14/17/20 armor for 4 seconds, stacking up to 8 times. Dashing towards an enemy champion grants 2 stacks. Damaging non-minions refreshes the duration of this buff. Quickdraw's cooldown is reduced by 0.5 seconds every time Graves hits an enemy with a bullet.;425;16/15/14/13/12;40;
GRAVES;SMOKE SCREEN;W;Range: 700 Cooldown: 26/24/22/20/18 Cost: 70/75/80/85/90 Graves fires a smoke canister at the target area, dealing 60/110/160/210/260 (+60% of ability power) magic damage upon landing and creating a cloud of smoke 675 units wide for 4 seconds. Enemies inside the smoke cloud will be slowed by 50% and will have their vision reduced to only what is inside the smoke cloud. The slow lasts for 0.5 seconds after the target leaves the cloud.;700;26/24/22/20/18;70/75/80/85/90;(+60% of ability power)
HECARIM;DEVASTATING CHARGE;E;Cooldown: 20/19/18/17/16 Cost: 60 Hecarim ignores unit collision and gains bonus movement speed for 4 seconds, beginning at 25% and increasing to 75% over the course of 3 seconds. His next attack knocks the target 250-450 units back (based on how far he has traveled) and deals a minimum of 45/75/105/135/165 (+0.5 per bonus attack damage) and a maximum of 90/150/210/270/330 (+1.0 per bonus attack damage) additional physical damage based on the distance he has traveled since activating the ability.;;20/19/18/17/16;60;(+0.5 per bonus attack damage), (+1.0 per bonus attack damage)
HECARIM;ONSLAUGHT OF SHADOWS;R;Cooldown: 140/120/100 Cost: 100 Hecarim summons spectral riders and charges forward, dealing 150/250/350 (+100% of ability power) magic damage in a line. Hecarim creates a shockwave when he finishes his charge, causing enemies to flee in terror away from Hecarim for 0.75-2 seconds based on the distance Hecarim traveled.;;140/120/100;100;(+100% of ability power)
HECARIM;RAMPAGE;Q;Range: 188 Cooldown: 4 Cost: 28/31/34/37/40 Hecarim cleaves nearby enemies dealing 60/102/144/186/228 (+0.7 per bonus attack damage) physical damage. This ability deals 60% damage to minions. If Hecarim damages at least one enemy unit with this attack, he gains a stack of Rampage, increasing the damage of this ability by 5% and reducing its base cooldown by 1 second for a short duration. This effect can stack up to 2 times.;188;4;28/31/34/37/40;(+0.7 per bonus attack damage)
HECARIM;SPIRIT OF DREAD;W;Range: 263 Cooldown: 22/21/20/19/18 Cost: 50/60/70/80/90 Hecarim deals 20/31.25/42.5/53.75/65 (+20% of ability power) magic damage to nearby enemies every second for 4 seconds, up to a maximum of 80/125/170/215/260 (+80% of ability power) magic damage. Hecarim gains health equal to 30% of any damage those enemies suffer. Healing from damage dealt to minions is capped at 90/120/150/180/210 health.;263;22/21/20/19/18;50/60/70/80/90;(+20% of ability power), (+80% of ability power)
HECARIM;WARPATH;Passive;Hecarim gains attack damage equal to 15/17.5/20/22.5/25/27.5/30 % of his bonus movement speed. The percentage is increased at level 3, and every 3 levels from there on.;;;;
HEIMERDINGER;CH-2 ELECTRON STORM GRENADE;E;Range: 925 Cooldown: 12 Cost: 85 Heimerdinger hurls a grenade at a targeted location, dealing 60/100/140/180/220 (+60% of ability power) magic damage and slowing enemies hit by 35% for 2 seconds. Enemies struck directly by the grenade are also stunned for 1.5 seconds. If the grenade hits a champion, all turrets within 1000 range of the damage gain 100% beam charge.;925;12;85;(+60% of ability power)
HEIMERDINGER;CH-3X LIGHTNING GRENADE;E;Throws a grenade that discharges three times, dealing 100/200/300 (+60% of ability power) magic damage and exploding in a larger area each time. Enemies hit are slowed by 80%. If the grenade hits a champion, all turrets within 1000 range of the damage gain 100% beam charge.;;;;(+60% of ability power)
HEIMERDINGER;H-28G EVOLUTION TURRET;Q;Range: 250 Cooldown: 1 Cost: 20 Heimerdinger constructs a turret at the target location. Heimerdinger stores the parts for a new turret every 20 seconds and can keep 3 in reserve. The storage time is affected by cooldown reduction. Turrets feature a short-ranged basic attack which deals 6/9/12/15/18 (+35% of ability power) magic damage and a long-ranged laser beam which deals 40/60/80/100/120 (+55% of ability power) magic damage in a line. The laser beam is a piercing linear skillshot that fires upon reaching 100% charge. The passive recharge time of the beam is 16 seconds (not affected by cooldown reduction), but this is lowered whenever the turret attacks an enemy as its basic attacks restore 1/2/3/4/5 % of the beam's charge. Nearby turrets gain 20% charge for each Hextech Micro-Rocket (W) that hits a champion and 100% charge if CH-1 Electron Storm Grenade (E) hits a champion (same bonuses apply to ult-empowered W and E casts). Turrets go offline if Heimerdinger is more than 1000 units away. Heimerdinger can have up to 3 turrets constructed at a time. H-28G Evolution Turret Stats: Health: 150 (+25 per champion level)(+5% of ability power from levels 1-8, after which the ratio goes up by 3.5% per level up to 40% of ability power at level 18);250;1;20;(+35% of ability power), (+55% of ability power), (+25 per champion level), (+5% of ability power from levels 1-8, after which the ratio goes up by 3.5% per level up to 40% of ability power at level 18)
HEIMERDINGER;H-28Q APEX TURRET;Q;Places a Turret that deals 70/90/110 (+35% of ability power) magic damage with its cannon and 100/140/180 (+70% of ability power) magic damage with its beam for 8 seconds. Each time this turret attacks, the beam is recharged for 20%.;;;;(+35% of ability power), (+70% of ability power)
HEIMERDINGER;HEXTECH AFFINITY;Passive;Range: 300 Heimerdinger gains 20% movement speed when within 300 range of allied turrets and turrets he creates.;300;;;
HEIMERDINGER;HEXTECH MICRO-ROCKETS;W;Range: 1000 Cooldown: 11/10/9/8/7 Cost: 50/60/70/80/90 Heimerdinger unleashes a barrage of 5 rockets that converge on the target location and fan beyond it up to a maximum range, each rocket dealing 50/80/110/140/170 (+45% of ability power) magic damage to the first enemy it hits. Enemy champions and neutral monsters that are hit by more than one rocket take 20% magic damage for each rocket beyond the first, up to a maximum of 90/144/198/252/306 (+81% of ability power). Enemy minions take 30/48/66/84/102 (+45% of ability power) damage from each rocket. Each rocket that hits an enemy champion grants 20% beam charge to all turrets within 1000 range of the damage (max 100% if all five rockets hit).;1000;11/10/9/8/7;50/60/70/80/90;(+45% of ability power), (+81% of ability power), (+45% of ability power)
HEIMERDINGER;HEXTECH ROCKET SWARM;W;Range: 1325 Fires 4 waves that deal 135/180/225 (+45% of ability power) magic damage each. Champions and monsters hit by multiple rockets take reduced damage (max 503/697.5/892 (+183% of ability power)). Each rocket that hits an enemy champion grants 20% beam charge to all turrets within 1000 range of the damage (max 100% if all five rockets hit).;1325;;;(+45% of ability power)
HEIMERDINGER;UPGRADE!!!;R;Cooldown: 120/105/90 Cost: 90 Heimerdinger empowers his next basic ability, also making it free to cast. Empowered abilities share the same cooldown as their basic form. Heimerdinger can activate UPGRADE!!! again after 3 seconds of activating it to cancel its effects. Canceling UPGRADE!!! puts it on a 3 second static cooldown. UPGRADE!!! will only go on cooldown if Heimerdinger used an empowered ability.;;120/105/90;90;
ILLAOI;HARSH LESSON;W;Cooldown: 4 Cost: 30 Illaoi's next basic attack within 6 seconds gains Range icon 225 bonus range and causes her to leap to her target if they're beyond her normal melee range. The attack deals 3/3.5/4/4.5/5% (+ 2% per 100 AD) of target's maximum health bonus physical damage, with a minimum threshold of 20/30/40/50/60, and capped at 300 against non-champions, and commands all Tentacles in range to attack her target. The minimum bonus damage is dealt as bonus damage to turrets. Harsh Lesson resets Illaoi's basic attack timer.;;4;30;(+ 2% per 100 AD)
ILLAOI;LEAP OF FAITH;R;Range: 500 Cooldown: 120/95/70 Cost: 100 Illaoi leaps into the air before slamming her idol into the ground, dealing 150/250/350 (+0.5 per bonus attack damage) physical damage to all nearby enemies and summoning a Tentacle for every enemy champion or Spirit hit (max 6 Tentacles). For the next 8 seconds, Tentacles swing 50% faster and are untargetable while Harsh Lesson's cooldown is halved.;500;120/95/70;100;(+0.5 per bonus attack damage)
ILLAOI;PROPHET OF AN ELDER GOD;Passive;Periodically, Illaoi spawns a Tentacle on a nearby impassable terrain if no others are nearby. Tentacles fully spawn after a 2 second delay and are untargetable in the meantime. Tentacles deal 10−180 (based on level) (+ 120% AD) (+40% of ability power) physical damage when commanded to attack by her abilities. Each Tentacle also heals Illaoi for 5% missing health if it hits at least one enemy champion. Tentacles despawn after Illaoi has left the area for 30 seconds. Enemies gain vision of Tentacles through Fog of War within 1000 range.;;;;(+ 120% AD), (+40% of ability power)
ILLAOI;TENTACLE SMASH;Q;Range: 850 Cooldown: 10/9/8/7/6 Cost: 40/45/50/55/60 Passive: Increases all tentacle damage by 10/15/20/25/30%. Active: Illaoi summons a tentacle that slams down in a target direction, dealing 10 x level physical damage to all enemies in a line before disappearing;850;10/9/8/7/6;40/45/50/55/60;
ILLAOI;TEST OF SPIRIT;E;Range: 900 Cooldown: 16/15/14/13/12 Cost: 35/40/45/50/55 Illaoi hurls a tendril forward in a line that stops at the first enemy hit. If the enemy was a champion, the tendril pulls their Spirit from them and places it before her. The Spirit is connected to the target by a tether. The Spirit has 100% of their current Health and lasts for 7 seconds. Over the duration, the Spirit can be attacked by Illaoi and her allies. 25/30/35/40/45% (+8% per 100 AD) of the damage dealt to the Spirit is also dealt to the target. The tether will be severed if the Spirit is killed or when the target moves too far away, slowing the target enemy by 80% for 1.5 seconds and marking them as a Vessel, causing them to spawn a Tentacle every 5/4/3 seconds (at levels 1/7/13) for the next 10 seconds, ceased by taking down Illaoi. Tentacles can spawn closer to other Tentacles than they do when spawned by Illaoi.;900;16/15/14/13/12;35/40/45/50/55;(+8% per 100 AD)
IRELIA;BLADESURGE;Q;Range: 600 Cooldown: 12/11/10/9/8 Cost: 20 Passive: Enemy champions and monsters hit by Flawless Duet and Vanguard's Edge's initial barrage are marked for 5 seconds. Active: Irelia dashes to the target enemy, dealing 5/25/45/65/85 (+ 60% attack damage) physical damage, applying on-hit effects and healing herself for 12/14/16/18/20% of her total attack damage. Bladesurge deals 55/75/95/115/135 bonus damage to minions. Bladesurge's cooldown is refunded if the target was marked or dies to Bladesurge.;600;12/11/10/9/8;20;(+ 60% attack damage)
IRELIA;DEFIANT DANCE;W;Range: 825 Cooldown: 20/18/16/14/12 Cost: 70/75/80/85/90 First cast: Irelia aligns her blades around her, channeling for a few seconds, during which she reduces incoming physical damage by 50% (+ 7% per 100 AP). Defiant Dance cannot be interrupted. Second cast: Irelia swipes with her blades in the target direction, dealing 10/25/40/55/70 (+ 50% AD) (+45% of ability power) physical damage to all enemies around her and in a line, increased by up to 100% based on channel time. The second cast activates automatically toward the cursor's direction at the end of the duration.;825;20/18/16/14/12;70/75/80/85/90;(+ 7% per 100 AP), (+ 50% AD), (+45% of ability power)
IRELIA;FLAWLESS DUET;E;Range: 775 Cooldown: 18/16.5/15/13.5/12 Cost: 50 Irelia sends a blade to the target location for 3.5 seconds. While active, Irelia may re-activate Flawless Duet to send another blade toward another location. Once both blades have been placed and after a short delay, they fly toward each other, dealing 80/125/170/215/260 (+80% of ability power) magic damage and stunning enemies caught in the crossfire for 0.75 seconds. If Irelia does not re-activate Flawless Duet the second blade will automatically be placed at her current location unless she is affected by Crowd Control.;775;18/16.5/15/13.5/12;50;(+80% of ability power)
IRELIA;IONIAN FERVOR;Passive;Irelia gains 1 Ionian Fervor stack for every enemy champion hit by her abilities, or if she hits at least one non-champion, stacking up to 5 times. Ionian Fervor lasts for 6 seconds, with basic attacks against champions and large monsters refreshing the duration. Ionian Fervor: Irelia gains 8/10/12% attack speed (based on level). At maximum stacks, Irelia gains 40/50/60% (at levels 1/7/13) bonus attack speed and her attacks deal an additional 15-66 (based on level) (+ 25% bonus attack damage) on-hit magic damage.;;;;(+ 25% bonus attack damage)
IRELIA;VANGUARD'S EDGE;R;Range: 1000 Cooldown: 140/120/100 Cost: 100 Irelia launches a barrage of blades through a wide line in the target direction, exploding outwards upon hitting a champion, dealing 125/225/325 (+70% of ability power) magic damage to all enemies struck. The blades form into a spade-shaped perimeter for 2.5 seconds. Enemies that pass the blades are dealt 125/200/275 (+70% of ability power) magic damage, and are slowed by 90% for 1.5 seconds.;1000;140/120/100;100;(+70% of ability power), (+70% of ability power)
IVERN;BRUSHMAKER;W;Range: 1000 Cooldown: 40/36/32/28/24 Cost: 30 Passive: While in brush, Ivern's basic attacks deal 30/37.5/45/52.5/60 (+30% of ability power) bonus magic damage. These bonuses persist for 3 seconds after leaving brush. Active: Ivern grows a patch of brush at the target location, revealing the area within and around it for 3 seconds. Brushmaker spawns more brush if used near terrain or more brush. Brushmaker uses a stock system and Ivern can keep 3 in reserve.;1000;40/36/32/28/24;30;(+30% of ability power)
IVERN;DAISY!;R;Cooldown: 140/130/120 Cost: 100 Ivern summons his sentinel friend Daisy, who remains on the field for 60 seconds as a controllable minion. Daisy's attacks on enemy champions apply stacks of Flower Power, resetting whenever Daisy attacks a new target. Versus a target with 2 stacks, Daisy's next attack gains bonus attack range and sends forward a shock wave that damages and knocks up all enemies hit in an line for 1 second. Flower Power cannot happen again for 3 seconds. Daisy's stats: HP: 1250/2500/3750 (+50% of ability power) Magic Damage: 100/125/175 (+25% of ability power) Attack Speed: 0.613 + (30/50/70%) Range: 150 Armor: 15/40/90 (+5% of ability power) Magic resist: 15/40/90 (+5% of ability power) Movement speed: 419 (+25% for the first 5 seconds after spawning) While Daisy is active, Daisy! can be used to move her to the target location.;150;140/130/120;100;(+50% of ability power), (+25% of ability power), (+5% of ability power), (+5% of ability power), (+25% for the first 5 seconds after spawning)
IVERN;FRIEND OF THE FOREST;Passive;Ivern cannot attack or damage non-epic monsters. Instead, targeting a jungle camp initiates a 2.5-second channel that, upon completion, places the monsters within a grove. Placing a grove costs 131.63 − 121 (based on level) health and 148.5 − 110.25 (based on level) mana, and cannot be cast if Ivern lacks the resources. The grove matures over 40-30s (at levels 1-6), 27-15s (at levels 7-11), 11-3s (at levels 12-14), 1s (level 15+). When fully matured, Ivern can interact with the camp again to instantly free the monsters, sending them away while receiving their full gold and experience bounty. Smiting a camp within a grove will instantly free the monsters, regardless of its maturity or the monster's current health. If the camp's large monster has already been slain, Ivern will free the camp upon completing the channel at no cost. Similarly, the grove will instantly mature if the large monster is slain. Starting at level 5, freeing the Red Brambleback or Blue Sentinel leaves behind a sapling that can be picked up by an allied champion to gain the camp's buff, consuming it in the process. If at least one allied champion is nearby, Ivern can pick up the sapling to transfer it to the nearest one in range. If an ally kills either monster, they also leave behind a sapling that only Ivern can consume.;;;;
IVERN;ROOTCALLER;Q;Range: 1075 Cooldown: 14/13/12/11/10 Cost: 60 Ivern throws a vine in the target direction, dealing 80/125/170/215/260 (+70% of ability power) magic damage to the first enemy hit and rooting them for 1.2/1.4/1.6/1.8/2 seconds. Ivern and his allies can target enemies rooted by Rootcaller to dash to them, placing themselves at their attack range from the target. While Daisy! is active, Daisy will rush towards targets affected by Rootcaller and prioritize them.;1075;14/13/12/11/10;60;(+70% of ability power)
IVERN;TRIGGERSEED;E;Range: 750 Cooldown: 12/11/10/9/8 Cost: 70 Ivern gifts a Triggerseed to the target allied champion, himself or Daisy for 2 seconds, shielding them for 80/115/150/185/220 (+80% of ability power). After the 2 seconds, Triggerseed bursts, dealing 70/95/120/145/170 (+80% of ability power) magic damage to all nearby enemies and slowing them by 40/45/50/55/60 for 2 seconds.;750;12/11/10/9/8;70;(+80% of ability power), (+80% of ability power)
JANNA;EYE OF THE STORM;E;Range: 800 Cooldown: 16/15/14/13/12 Cost: 70/80/90/100/110 Janna shields her target, absorbing 80/115/150/185/220 (+70% of ability power) damage and buffs them, increasing their attack damage by 10/17.5/25/32.5/40 (+10% of ability power) for 5 seconds (can target Turrets) or until the shield is broken. Eye of the Storm's shield decays over its duration after a 0.75 grace period. Each ability that slows or knocks back an enemy champion reduces Eye of the Storm's cooldown by 20%, up to once per ability cast.;800;16/15/14/13/12;70/80/90/100/110;(+70% of ability power), (+10% of ability power)
JANNA;HOWLING GALE;Q;Range: 1000 Cooldown: 12 Cost: 60/80/100/120/140 Janna summons a mighty whirlwind, which she can release to deal 60/85/110/135/160 (+35% of ability power) + 15/20/25/30/35 (+10% of ability power for each second it charges) magic damage to all targets in its path, knocking them into the air for 0.5 seconds and an extra 0.25 seconds for each second charged. The distance traveled by the whirlwind also increases for each second it channels to a maximum of 1750 units at 3 seconds.;1000;12;60/80/100/120/140;(+35% of ability power), (+10% of ability power for each second it charges)
JANNA;MONSOON;R;Range: 725 Cooldown: 150/135/120 Cost: 100 Janna knocks surrounding enemies back 875 units, stunning them for 0.5 seconds, and channels healing winds which restore 100/150/200 (+50% of ability power) Health to nearby allies each second for 3 seconds.;725;150/135/120;100;(+50% of ability power)
JANNA;TAILWIND;Passive;Range: 1250 Increases the movement speed Janna and of all nearby allied champions by 8% while they are moving toward Janna. Janna’s basic attacks and single-target spells deal bonus magic damage equal to 25/35% (at levels 1/10) of her bonus movement speed.;1250;;;
JANNA;ZEPHYR;W;Range: 550 Cooldown: 8/7.5/7/6.5/6 Cost: 50/60/70/80/90 Passive: Increases Janna's movement speed by 6/7/8/9/10% (+2% per 100 AP), and allows her to move through units. Active: Janna launches her elemental at the target dealing 55/85/115/145/175 (+50% of ability power) magic damage, and slowing their movement speed by 24/28/32/36/40% (+6% per 100 AP, up to a maximum of 99%) for 2 seconds. Janna loses the passive benefit while Zephyr is on cooldown.;550;8/7.5/7/6.5/6;50/60/70/80/90;(+2% per 100 AP), (+50% of ability power), (+6% per 100 AP, up to a maximum of 99%)
JARVAN IV;CATACLYSM;R;Range: 650 Cooldown: 120/105/90 Cost: 100 Jarvan IV heroically leaps to an enemy champion, creating a circle of impassable terrain around them for 3.5 seconds and dealing 200/325/450 (+1.5 per bonus attack damage) physical damage to all enemies within. Jarvan IV can destroy the area by activating it again. Champions can still leave or enter the area by using teleport abilities.;650;120/105/90;100;(+1.5 per bonus attack damage)
JARVAN IV;DEMACIAN STANDARD;E;Range: 830 Cooldown: 12 Cost: 55 Passive: Grants Jarvan a bonus 20/22.5/25/27.5/30% attack speed. Active: Jarvan IV throws a Demacian flag to a nearby area, dealing 80/120/160/200/240 (+80% of ability power) magic damage to enemies in the area and granting his passive attack speed to nearby allies and again to himself for 8 seconds.;830;12;55;(+80% of ability power)
JARVAN IV;DRAGON STRIKE;Q;Range: 770 Cooldown: 10/9/8/7/6 Cost: 45/50/55/60/65 Jarvan IV extends his lance through his opponent, dealing 80/120/160/200/240 (+1.1 per bonus attack damage) physical damage and lowering their armor by 10/14/18/22/26 % for 3 seconds. If its lance contacts his standard it will pull Jarvan IV to its location, knocking up all enemies in his path.;770;10/9/8/7/6;45/50/55/60/65;(+1.1 per bonus attack damage)
JARVAN IV;GOLDEN AEGIS;W;Range: 600 Cooldown: 12 Cost: 30 Jarvan IV forges a shield protecting him for 60/80/110/135/160 (+1.5% of Jarvan IV's maximum health per nearby enemy champion) damage for 5 seconds and slowing surrounding enemies by 15/20/25/30/35% for 2 seconds upon activation.;600;12;30;"""(+1.5% of Jarvan IVs maximum health per nearby enemy champion)"""
JARVAN IV;MARTIAL CADENCE;Passive;Jarvan IV's first attack on his target deals 8% of the target's current health as bonus physical damage, which caps at 400 damage (minimum 20 damage). This effect cannot occur on the same target for 6 seconds.;;;;
JAX;COUNTER STRIKE;E;Range: 375 Cooldown: 16/14/12/10/8 Cost: 50/60/70/80/90 Jax dodges all incoming basic attacks for 2 seconds and reduces AoE damage by 25% while he is dodging. At the end of the duration, Jax deals 55/80/105/130/155 (+0.5 bonus attack damage) physical damage to nearby enemies and stuns them for 1 second. This spell deals 20% (up to a maximum of 100%) increased damage for each attack dodged. Jax has the option to activate the ability again after 1 second to end the effect early.;375;16/14/12/10/8;50/60/70/80/90;(+0.5 bonus attack damage)
JAX;EMPOWER;W;Cooldown: 7/6/5/4/3 Cost: 30 Jax charges his weapon with energy, causing his next attack to gain 50 range and deal 40/75/110/145/180 (+60% of ability power) additional magic damage.;;7/6/5/4/3;30;(+60% of ability power)
JAX;GRANDMASTER'S MIGHT;R;Cooldown: 80 Cost: 100 Passive: Hitting 3 consecutive times enhances Jax's next attack for 100/140/180 (+70% of ability power) bonus magic damage. Active: Jax gains 30/50/70 (+50% of his bonus attack damage) armor and 30/50/70 (+20% of his ability power) magic resist for 8 seconds. Now gains effects from Guinsoo's Rageblade;;80;100;(+70% of ability power), (+50% of his bonus attack damage), (+20% of his ability power)
JAX;LEAP STRIKE;Q;Range: 700 Cooldown: 8/7.5/7/6.5/6 Cost: 65 Jax leaps towards a target. If it's an enemy, he attacks, dealing 65/105/145/185/225 (+60% of ability power) (+1.0 per bonus attack damage) physical damage.;700;8/7.5/7/6.5/6;65;(+60% of ability power), (+1.0 per bonus attack damage)
JAX;RELENTLESS ASSAULT;Passive;Every time Jax attacks an enemy he gains 3.5-11% increased attack speed for 2.5 seconds. The percentage is increased every 3 levels (which is at level 1/4/7/10/13/16). This effect stacks up to 8 times for a maximum of 28-88% bonus attack speed (depending on level) and will still stack if the attack is dodged or missed due to blind. Stacks fall off one at a time every 0.25 seconds after not attacking for 2.5 seconds.;;;;
JAYCE;ACCELERATION GATE;E;Range: 650 Cooldown: 16 Cost: 50 Jayce deploys an Acceleration Gate for 4 seconds, which increases the movement speed of allied champions who pass through it by 30/35/40/45/50/55% for 3 seconds. This movement speed bonus rapidly decreases over its duration. If Shock Blast is fired through the gate, its speed, range, damage, and explosion radius are increased by 40%.;650;16;50;
JAYCE;HEXTECH CAPACITOR;Passive;Jayce gains 40 movement speed and ignores unit collision for 1.25 seconds each time Transform is cast.;;;;
JAYCE;HYPER CHARGE;W;Cooldown: 13/11.4/9.8/8.2/6.6 Cost: 40 Jayce gains a burst of energy, increasing his attack speed to the maximum amount for 3 attacks. These attacks deal physical damage equal to 70/78/86/94/102/110% of his attack damage. Rank 6 cooldown: 5 seconds.;;13/11.4/9.8/8.2/6.6;40;
JAYCE;LIGHTNING FIELD;W;Range: 285 Cooldown: 10 Cost: 40 Passive: Jayce restores 6/8/10/12/14/16 mana per strike while in Hammer form. Active: Jayce creates a field of lightning that damages nearby enemies for 25/40/55/70/85/100 (+25% of ability power) magic damage per second for 4 seconds.;285;10;40;(+25% of ability power)
JAYCE;LIGHTNING FIELD/HYPER CHARGE;W;Lightning Field: Passive: Jayce restores 6/8/10/12/14/16 mana per strike while in Hammer form. Active: Jayce creates a field of lightning that damages nearby enemies for 25/40/55/70/85/100 (+25% of ability power) magic damage per second for 4 seconds. Hyper Charge: Jayce gains a burst of energy, increasing his attack speed to the maximum amount for 3 attacks. These attacks deal physical damage equal to 70/78/86/94/102/110% of his attack damage.;;;;(+25% of ability power)
JAYCE;MERCURY CANNON;R;Cooldown: 6 Transforms the Mercury Hammer into the Mercury Cannon gaining new abilities and increased range. The first attack in this form reduces the target's Armor and Magic Resist by 10/15/20/25% for 5 seconds.;;6;;
JAYCE;MERCURY CANNON/MERCURY HAMMER;R;Cooldown: 6 Mercury Cannon: Transforms the Mercury Hammer into the Mercury Cannon gaining new abilities and increased range. The first attack in this form reduces the target's Armor and Magic Resist by 10/15/20/25% for 5 seconds. Mercury Hammer: Transforms the Mercury Cannon into the Mercury Hammer gaining new abilities and increases Jayce's Armor and Magic Resist by 5/15/25/35. The first attack in this form deals 25/65/105/145 (+0.25 bonus attack damage) additional magic damage.;;6;;(+0.25 bonus attack damage)
JAYCE;MERCURY HAMMER;R;Cooldown: 6 Transforms the Mercury Cannon into the Mercury Hammer gaining new abilities and increases Jayce's Armor and Magic Resist by 5/15/25/35. The first attack in this form deals 25/65/105/145 (+0.25 bonus attack damage) additional magic damage.;;6;;(+0.25 bonus attack damage)
JAYCE;SHOCK BLAST;Q;Range: 1050 Cooldown: 8 Cost: 55/60/65/70/75 Jayce fires an orb of electricity that detonates upon hitting an enemy (or reaching the end of its path), dealing 55/110/165/220/275/330 (+1.2 per bonus attack damage) physical damage to all enemies in the area of the explosion. If fired through an Acceleration Gate, Shock Blast's damage, range, speed, and explosion radius are increased by 40%. Rank 6 cost: 80 mana.;1050;8;55/60/65/70/75;(+1.2 per bonus attack damage)
JAYCE;THUNDERING BLOW;E;Range: 240 Cooldown: 20/18/16/14/12 Cost: 55 Jayce deals 8/10.4/12.8/15.2/17.6/20% of his target's maximum health (+1.0 per bonus attack damage) as magic damage and knocks him back a short distance. Damage to monsters is capped at 200/300/400/500/600/700 magic damage. Rank 6 cooldown: 10 seconds. Rank 6 cost: 90 mana.;240;20/18/16/14/12;55;(+1.0 per bonus attack damage)
JAYCE;THUNDERING BLOW/ACCELERATION GATE;E;Cooldown: 20/18/16/14/12 Cost: 55 Thundering Blow: Jayce deals 8/10.4/12.8/15.2/17.6/20% of his target's maximum health (+1.0 per bonus attack damage) as magic damage and knocks him back a short distance. Damage to monsters is capped at 200/300/400/500/600/700 magic damage. Acceleration Gate: Jayce deploys an Acceleration Gate for 4 seconds, which increases the movement speed of allied champions who pass through it by 30/35/40/45/50/55% for 3 seconds. This movement speed bonus rapidly decreases over its duration. If Shock Blast is fired through the gate, its speed, range, damage, and explosion radius are increased by 40%.;;20/18/16/14/12;55;(+1.0 per bonus attack damage)
JAYCE;TO THE SKIES!;Q;Range: 600 Cooldown: 16/14/12/10/8 Cost: 40 Jayce leaps to an enemy, dealing 45/80/115/150/185/220 (+1.2 per bonus attack damage) physical damage and slowing enemies by 30/35/40/45/50/55% for 2 seconds. Rank 6 cooldown: 6 seconds. Rank 6 cost: 65 mana.;600;16/14/12/10/8;40;(+1.2 per bonus attack damage)
JAYCE;TO THE SKIES!/SHOCK BLAST;Q;To The Skies!: Jayce leaps to an enemy, dealing 55/95/135/175/215/255 (+1.2 per bonus attack damage) physical damage and slowing enemies by 30/35/40/45/50/55% for 2 seconds. Shock Blast: Jayce fires an orb of electricity that detonates upon hitting an enemy (or reaching the end of its path), dealing 55/105/155/205/255/305 (+1.2 per bonus attack damage) physical damage to all enemies in the area of the explosion. If fired through an Acceleration Gate, Shock Blast's damage, range, speed, and explosion radius are increased by 40%.;;;;(+1.2 per bonus attack damage), (+1.2 per bonus attack damage)
JHIN;CAPTIVE AUDIENCE;E;Range: 750 Cooldown: 2 Cost: 30/35/40/45/50 Passive: When Jhin kills an enemy champion a Lotus Trap will spawn and detonate where they were killed. Active: Jhin places an invisible Lotus Trap at the target location that lasts for 3 minutes and activates when stepped on, revealing nearby enemies for 4 seconds. The trap leaves behind a zone that slows enemies inside by 35% and detonates after 2 seconds, dealing 20/80/140/200/260 (+1.2 per attack damage) (+100% of ability power) magic damage (65% damage on subsequent hits and vs. minions and monsters). Jhin prepares a new trap every 28/25/22/19/16 seconds (affected by cooldown reduction) and can store up to 2 of them at once.;750;2;30/35/40/45/50;(+1.2 per attack damage), (+100% of ability power)
JHIN;CURTAIN CALL;R;Range: 25000 Cooldown: 120/105/90 Cost: 100 Jhin sets up and channels for 10 seconds, enabling him to fire 4 super shots at extreme range in a cone in front of him. The shots stop on the first champion hit, slowing it by 80% for 0.5 seconds and dealing 50/125/200 (+0.2 per attack damage) physical damage, increased by 3% for each 1% Health the target is missing. The 4th shot crits for 100/250/400 (+0.5 per attack damage) physical damage.;25000;120/105/90;100;(+0.2 per attack damage), (+0.5 per attack damage)
JHIN;DANCING GRENADE;Q;Range: 550 Cooldown: 7/6.5/6/5.5/5 Cost: 40/45/50/55/60 Jhin launches a cartridge at the targeted enemy which deals 45/70/95/120/145 (+0.45/0.525/0.6/0.675/0.75 per attack damage) (+60% of ability power) physical damage before bouncing to a nearby target that has not yet been hit. The cartridge can hit a maximum of 4 times. Each kill by the cartridge increases the damage of subsequent hits by 35%.;550;7/6.5/6/5.5/5;40/45/50/55/60;(+0.45/0.525/0.6/0.675/0.75 per attack damage), (+60% of ability power)
